Название в программе;Нормализованное название в программе;Найденное совпадение в exercise DB;DB id;Confidence score;Статус;Причина;Предлагаемый alias;Встречается в программах;Кол-во course_id;Кол-во lesson_id;Muscle group DB;Pattern DB;Target zone DB;DB has video;Второй кандидат;Score второго кандидата;Пример raw/comment
Бабочка на заднюю дельту;бабочка на заднюю дельту;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";table_049;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";137;61;137;плечи задняя дельта;разведение плеча;Задняя дельта;true;"Тяга ""Арбалет"" на заднюю дельту, техника выполнения упражнения";0.602;Упражнение 6: Бабочка на заднюю дельту 4 подходов x 10 раз | Упражнение 6: Бабочка на заднюю дельту 4 подходов x 10 раз | Упражнение 4: Бабочка на заднюю дельту 4 подходов x 12 раз
"Трицепс в тренажёре формата ""брусья""";трицепс в тренажере формата брусья;"Трицепс в тренажере, техника выполнения упражнения";table_137;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Трицепс в тренажере, техника выполнения упражнения";129;70;129;трицепс;разгибание локтя;Трицепс;true;"Трицепс в кроссовере обратным хватом, техника выполнения упражнения";0.28;"Упражнение 4: Трицепс в тренажёре формата ""брусья"" 4 подходов x 8 раз | Упражнение 4: Трицепс в тренажёре формата ""брусья"" 4 подходов x 8 раз | Упражнение 4: Трицепс в тренажёре формата ""брусья"" 4 подходов x 8 раз"
Отжимания в смитте;отжимания в смитте;"Отжимания в тренажёре смитта, техника выполнения упражнения";table_126;0.836;fuzzy_match;Высокая похожесть по токенам/строке.;"Отжимания в тренажёре смитта, техника выполнения упражнения";124;40;124;грудь;горизонтальный жим;Средняя грудь;true;"Жим в смитте, техника выполнения упражнения";0.498;Упражнение 1: Отжимания в смитте 4 подходов x 12 раз | Упражнение 1: Отжимания в смитте 4 подходов x 15 раз | Упражнение 1: Отжимания в смитте 4 подходов x 12 раз
Латеральная или боковая вытяжка в кроссовере.;латеральная или боковая вытяжка в кроссовере;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";table_010;0.808;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";119;24;119;;лфк вытяжка;Квадратная мышца поясницы;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.55;Упражнение 2: Латеральная или боковая вытяжка в кроссовере. 4 подходов x 12 раз | Упражнение 1: Латеральная или боковая вытяжка в кроссовере. 4 подходов x 12 раз | Упражнение 2: Латеральная или боковая вытяжка в кроссовере. 4 подходов x 12 раз
Жим в хаммере верх груди;жим в хаммере верх груди;"Жим в хаммере на верх груди, техника выполнения упражнения";table_027;0.976;fuzzy_match;Высокая похожесть по токенам/строке.;"Жим в хаммере на верх груди, техника выполнения упражнения";109;58;109;грудь;горизонтальный жим;Верх груди;true;"Жим в хаммере на низ груди, техника выполнения упражнения";0.719;Упражнение 3: Жим в хаммере верх груди 4 подходов x 8 раз | Упражнение 3: Жим в хаммере верх груди 4 подходов x 8 раз | Упражнение 1: Жим в хаммере верх груди 4 подходов x 8 раз
Разгибание на трицепс с канатной рукоятью;разгибание на трицепс с канатной рукоятью;"Разгибание на трицепс в кроссовере с канатной рукояткой, техника выполнения упражнения";table_133;0.682;fuzzy_match;Высокая похожесть по токенам/строке.;"Разгибание на трицепс в кроссовере с канатной рукояткой, техника выполнения упражнения";109;57;109;трицепс;разгибание локтя;Трицепс;true;"Разгибание на трицепс в кроссовере, техника выполнения упражнения";0.506;Упражнение 5: Разгибание на трицепс с канатной рукоятью 4 подходов x 15 раз | Упражнение 5: Разгибание на трицепс с канатной рукоятью 4 подходов x 15 раз | Упражнение 5: Разгибание на трицепс с канатной рукоятью 4 подходов x 12 раз
Боковая или латеральная планка;боковая или латеральная планка;"Латеральная планка, или боковая планка, техника выполнения упражнения";table_085;0.863;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральная планка, или боковая планка, техника выполнения упражнения";106;48;106;пресс;стабилизация;Косые мышцы живота;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.606;Упражнение 5: Боковая или латеральная планка 4 подходов x 30 сек | Упражнение 5: Боковая или латеральная планка 4 подходов x 30 сек | Упражнение 7: Боковая или латеральная планка 8 подходов x 30 сек
Вертикальная тяга широким хватом;вертикальная тяга широким хватом;"Вертикальная тяга, техника выполнения упражнения";table_127;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Вертикальная тяга, техника выполнения упражнения";103;55;103;спина;вертикальная тяга;Широчайшие;true;"Вертикальная тяга узким хватом, техника выполнения упражнения";0.742;Упражнение 3: Вертикальная тяга широким хватом 4 подходов x 8 раз | Упражнение 3: Вертикальная тяга широким хватом 4 подходов x 8 раз | Упражнение 2: Вертикальная тяга широким хватом 4 подходов x 15 раз
Скрепка;скрепка;"Скрепка на пресс, техника выполнения упражнения";table_098;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Скрепка на пресс, техника выполнения упражнения";100;53;100;пресс;скручивание;Прямая мышца живота;true;"Классическая планка, техника выполнения упражнения";0.058;Упражнение 6: Скрепка 4 подходов x 10 раз | Упражнение 6: Скрепка 4 подходов x 10 раз | Упражнение 7: Скрепка 4 подходов x 15 раз
Выпады со штангой;выпады со штангой;"Выпады со штангой на ягодицы, техника выполнения упражнения";table_032;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Выпады со штангой на ягодицы, техника выполнения упражнения";97;46;97;ноги ягодицы;выпад;Ягодицы;true;"Отходы со штангой, техника выполнения упражнения";0.519;Упражнение 3: Выпады со штангой 4 подходов x 8 раз | Упражнение 3: Выпады со штангой 4 подходов x 6 раз | Упражнение 3: Выпады со штангой 4 подходов x 8 раз
Тяга из-за головы на трицепс;тяга из за головы на трицепс;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";table_134;0.872;fuzzy_match;Высокая похожесть по токенам/строке.;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";96;49;96;трицепс;разгибание локтя;Трицепс;true;"Разгибание на трицепс из-за головы, техника выполнения упражнения";0.533;Упражнение 6: Тяга из-за головы на трицепс 4 подходов x 10 раз | Упражнение 6: Тяга из-за головы на трицепс 4 подходов x 10 раз | Упражнение 5: Тяга из-за головы на трицепс 4 подходов x 10 раз
Касания пяток (пресс);касания пяток;"Касание пяток на пресс, техника выполнения упражнения";table_099;0.822;fuzzy_match;Высокая похожесть по токенам/строке.;"Касание пяток на пресс, техника выполнения упражнения";86;47;86;пресс;скручивание;Косые мышцы живота;true;"Приседания с паузой, техника выполнения упражнений";0.093;Упражнение 5: Касания пяток (пресс) 4 подходов x 20 раз | Упражнение 5: Касания пяток (пресс) 4 подходов x 20 раз | Упражнение 7: Касания пяток (пресс) 4 подходов x 30 раз
Дуговые махи на заднюю дельту;дуговые махи на заднюю дельту;"Махи дерижер на заднюю дельту, техника выполнения упражнения";table_110;0.686;fuzzy_match;Высокая похожесть по токенам/строке.;"Махи дерижер на заднюю дельту, техника выполнения упражнения";78;47;78;плечи задняя дельта;разведение плеча;Задняя дельта;true;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";0.611;Упражнение 5: Дуговые махи на заднюю дельту 4 подходов x 10 раз | Упражнение 5: Дуговые махи на заднюю дельту 4 подходов x 10 раз | Упражнение 5: Дуговые махи на заднюю дельту 4 подходов x 10 раз
Изодинамический подъем на бицепс.;изодинамический подъем на бицепс;"Изодинамиеский подъем на бицепс, техника выполнения упражнения";table_176;0.694;fuzzy_match;Высокая похожесть по токенам/строке.;"Изодинамиеский подъем на бицепс, техника выполнения упражнения";67;35;67;бицепс;сгибание локтя;Бицепс;true;"Попеременный подъем на бицепс, техника выполнения упражнения";0.625;Упражнение 6: Изодинамический подъем на бицепс. 4 подходов x 12 раз | Упражнение 6: Изодинамический подъем на бицепс. 4 подходов x 12 раз | Упражнение 6: Изодинамический подъем на бицепс. 4 подходов x 10 раз
Жим в хаммере низ;жим в хаммере низ;"Жим в хаммере на низ груди, техника выполнения упражнения";table_015;0.865;fuzzy_match;Высокая похожесть по токенам/строке.;"Жим в хаммере на низ груди, техника выполнения упражнения";62;41;62;грудь;горизонтальный жим;Нижняя грудь;true;"Жим в хаммере на верх груди, техника выполнения упражнения";0.58;Упражнение 1: Жим в хаммере низ 4 подходов x 8 раз | Упражнение 1: Жим в хаммере низ 4 подходов x 12 раз | Упражнение 1: Жим в хаммере низ 4 подходов x 12 раз
Бицепс со штангой на скамье Скотта;бицепс со штангой на скамье скотта;"Бицепс со штангой в скамье скотта, техника выполнения упражнения";table_166;0.987;fuzzy_match;Высокая похожесть по токенам/строке.;"Бицепс со штангой в скамье скотта, техника выполнения упражнения";60;29;60;бицепс;сгибание локтя;Бицепс;true;"Бицепс с гантелью на скамье скотта, техника выполнения упражнения";0.718;Упражнение 5: Бицепс со штангой на скамье Скотта 4 подходов x 12 раз | Упражнение 5: Бицепс со штангой на скамье Скотта 4 подходов x 12 раз | Упражнение 4: Бицепс со штангой на скамье скотта 4 подходов x 10 раз
Жим в свенда в кроссовере;жим в свенда в кроссовере;"Жим Свенда в кроссовере, техника выполнения упражнения";table_031;0.982;fuzzy_match;Высокая похожесть по токенам/строке.;"Жим Свенда в кроссовере, техника выполнения упражнения";59;37;59;грудь;сведение рук;Внутренняя грудь;true;"Выпады в кроссовере, техника выполнения упражнения";0.372;Упражнение 2: Жим в свенда в кроссовере 4 подходов x 10 раз | Упражнение 2: Жим в свенда в кроссовере 4 подходов x 10 раз | Упражнение 2: Жим в свенда в кроссовере 4 подходов x 12 раз
Махи на заднюю дельту на скамье 30*;махи на заднюю дельту на скамье 30;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";table_107;0.961;fuzzy_match;Высокая похожесть по токенам/строке.;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";56;31;56;плечи задняя дельта;разведение плеча;Задняя дельта;true;"Махи дерижер на заднюю дельту, техника выполнения упражнения";0.529;Упражнение 4: Махи на заднюю дельту на скамье 30* 4 подходов x 10 раз | Упражнение 4: Махи на заднюю дельту на скамье 30* 4 подходов x 10 раз | Упражнение 4: Махи на заднюю дельту на скамье 30* 4 подходов x 10 раз
Махи на скамье под 45* на плечи;махи на скамье под 45 на плечи;"Махи на скамье под 45*, техника выполнения упражнения";table_060;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Махи на скамье под 45*, техника выполнения упражнения";46;29;46;плечи;отведение плеча;Средняя дельта;true;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";0.424;Упражнение 5: Махи на скамье под 45* на плечи 4 подходов x 10 раз | Упражнение 4: Махи на скамье под 45* на плечи 4 подходов x 10 раз | Упражнение 5: Махи на скамье под 45* на плечи 4 подходов x 10 раз
Подъем на бицепс с гантелями сидя;подъем на бицепс с гантелями сидя;"Подъем на бицепс с резинкой сидя, техника выполнения упражнения";table_167;0.71;fuzzy_match;Высокая похожесть по токенам/строке.;"Подъем на бицепс с резинкой сидя, техника выполнения упражнения";41;26;41;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс гантелей стоя, техника выполнения упражнения";0.524;Упражнение 6: Подъем на бицепс с гантелями сидя 4 подходов x 10 раз | Упражнение 6: Подъем на бицепс с гантелями сидя 4 подходов x 10 раз | Упражнение 7: Подъем на бицепс с гантелями сидя 4 подходов x 10 раз
Молотковые сгибания на бицепс с канатной рукояткой;молотковые сгибания на бицепс с канатной рукояткой;"Молотковые сгибание на бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";table_171;0.912;fuzzy_match;Высокая похожесть по токенам/строке.;"Молотковые сгибание на бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";40;23;40;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";0.506;Упражнение 4: Молотковые сгибания на бицепс с канатной рукояткой 4 подходов x 15 раз | Упражнение 4: Молотковые сгибания на бицепс с канатной рукояткой 4 подходов x 15 раз | Упражнение 6: Молотковые сгибания на бицепс с канатной рукояткой 4 подходов x 10 раз
Изодинамические махи на заднюю дельту;изодинамические махи на заднюю дельту;"Махи дерижер на заднюю дельту, техника выполнения упражнения";table_110;0.669;fuzzy_match;Высокая похожесть по токенам/строке.;"Махи дерижер на заднюю дельту, техника выполнения упражнения";38;25;38;плечи задняя дельта;разведение плеча;Задняя дельта;true;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";0.574;Упражнение 4: Изодинамические махи на заднюю дельту 4 подходов x 10 раз | Упражнение 4: Изодинамические махи на заднюю дельту 4 подходов x 10 раз | Упражнение 4: Изодинамические махи на заднюю дельту 4 подходов x 10 раз
Паучьи сгибания с гантелями;паучьи сгибания с гантелями;"Паучьи сгибания, техника выполнения упражнения";table_180;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Паучьи сгибания, техника выполнения упражнения";18;13;18;бицепс;сгибание локтя;Бицепс;true;"Паучьи сгибания молотковым хватом, техника выполнения упражнения";0.571;Упражнение 5: Паучьи сгибания с гантелями 4 подходов x 15 раз | Упражнение 5: Паучьи сгибания с гантелями 4 подходов x 15 раз | Упражнение 6: Паучьи сгибания с гантелями 4 подходов x 15 раз
Подъем на бицепс обратным хватом в кроссовере;подъем на бицепс обратным хватом в кроссовере;"Подъем на бицепс обратным хватом, техника выполнения упражнения";table_172;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Подъем на бицепс обратным хватом, техника выполнения упражнения";14;10;14;бицепс;сгибание локтя;Брахиалис / предплечье;true;"Подъем на бицепс спиной к кроссоверу, техника выполнения упражнения";0.591;Упражнение 6: Подъем на бицепс обратным хватом в кроссовере 4 подходов x 10 раз | Упражнение 6: Подъем на бицепс обратным хватом в кроссовере 4 подходов x 10 раз | Упражнение 6: Подъем на бицепс обратным хватом в кроссовере 4 подходов x 10 раз
Прямые скручивания на пресс;прямые скручивания на пресс;"Прямые скручивания с мячом, техника выполнения упражнения";table_096;0.644;fuzzy_match;Высокая похожесть по токенам/строке.;"Прямые скручивания с мячом, техника выполнения упражнения";14;7;14;пресс;скручивание;Прямая мышца живота;true;"Велосипедные скручивания на пресс, техника выполнения упражнения";0.641;Упражнение 6: Прямые скручивания на пресс 4 подходов x 10 раз | Упражнение 6: Прямые скручивания на пресс 4 подходов x 10 раз | Упражнение 6: Прямые скручивания на пресс 4 подходов x 10 раз
