id,name,muscleGroup,secondaryMuscleGroup,movementType,equipment,difficulty,movementPattern,laterality,verticalHorizontal,axialLoad,exerciseCategory,alternatives,sourceCount,needsManualReview,manualNotes
"ex_вертикальная-тяга-одной-рукой","Вертикальная тяга одной рукой","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","unilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом","17","false",""
"ex_вертикальная-тяга-узким-хватом","Вертикальная тяга узким хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","76","false",""
"ex_вертикальная-тяга-широким-хватом","Вертикальная тяга широким хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","103","false",""
"ex_выпады-в-кроссовере","Выпады в кроссовере","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","154","false",""
"ex_выпады-в-смите","Выпады в смите","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","33","false",""
"ex_выпады-с-гантелями","Выпады с гантелями","квадрицепс","ягодицы","push","free_weight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз","77","false",""
"ex_выпады-со-штангой","Выпады со штангой","квадрицепс","ягодицы","push","free_weight","intermediate","squat_lunge","unilateral","lower_push","true","strength_squat_lunge","Приседания со штангой; Фронтальные приседания со штангой; Болгарский присед; Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите","97","false",""
"ex_вытяжка-в-гиперэкстензии","Вытяжка в гиперэкстензии","задняя цепь","ягодицы","hinge","bodyweight_machine","beginner","hip_hinge","bilateral","lower_pull","false","strength_hip_hinge","Гиперэкстензия","183","false",""
"ex_гак-присед","Гак присед","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Приседания в кроссовере; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","18","false",""
"ex_гибридная-тяга","Гибридная тяга","","","","","unknown","","bilateral","","false","","","45","true","Нужно вручную разметить перед использованием в заменах."
"ex_гильотина","Гильотина","","","","","unknown","","bilateral","","false","","","69","true","Нужно вручную разметить перед использованием в заменах."
"ex_гиперэкстензия","Гиперэкстензия","задняя цепь","ягодицы","hinge","bodyweight_machine","beginner","hip_hinge","bilateral","lower_pull","false","strength_hip_hinge","Вытяжка в гиперэкстензии","70","false",""
"ex_горизонтальная-вытяжка-в-кроссовере","Горизонтальная вытяжка в кроссовере","мобильность","","mobility","bodyweight","beginner","mobility","bilateral","mobility","false","mobility","Латеральная или боковая вытяжка в кроссовере.; Растяжка на все тело","89","false",""
"ex_горизонтальная-или-гребная-тяга-широким-хватом","Горизонтальная или гребная тяга широким хватом","спина","бицепс","pull","free_weight","beginner","horizontal_pull","bilateral","horizontal_pull","false","strength_horizontal_pull","Горизонтальная тяга или гребная тяга.; Тяга к поясу в кроссовере","232","false",""
"ex_горизонтальная-тяга-или-гребная-тяга","Горизонтальная тяга или гребная тяга.","спина","бицепс","pull","free_weight","beginner","horizontal_pull","bilateral","horizontal_pull","false","strength_horizontal_pull","Горизонтальная или гребная тяга широким хватом; Тяга к поясу в кроссовере","215","false",""
"ex_горизонтальный-жим-ногами","Горизонтальный жим ногами","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Разгибание ног; Разгибание ног 10 раз","13","false",""
"ex_динамическая-планка-на-косые-мышцы","Динамическая планка на косые мышцы","кор","","core","bodyweight","beginner","anti_extension","bilateral","core","false","strength_anti_extension","Боковая или латеральная планка; Классическая планка; Планка с перестановкой ног; Планка на босу под ногами; Планка на фитболе; Планка на фитболе под руками; Планка на босу","56","false",""
"ex_дуговая-разводка","Дуговая разводка","","","","","unknown","","bilateral","","false","","","103","true","Нужно вручную разметить перед использованием в заменах."
"ex_дуговые-махи","Дуговые махи","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","101","false",""
"ex_дуговые-махи-на-заднюю-дельту","Дуговые махи на заднюю дельту","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","78","false",""
"ex_жим-арнольда","Жим Арнольда","","","","","unknown","","bilateral","","false","","","31","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-в-свенда-в-кроссовере","Жим в свенда в кроссовере","","","","","unknown","","bilateral","","false","","","59","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-в-свенда-в-кроссовере-10-раз","Жим в свенда в кроссовере 10 раз","","","","","unknown","","bilateral","","false","","","3","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-в-смитте","Жим в смитте","","","","","unknown","","bilateral","","false","","","24","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-в-хаммере-верх-груди","Жим в хаммере верх груди","","","","","unknown","","bilateral","","false","","","109","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-в-хаммере-низ","Жим в хаммере низ","","","","","unknown","","bilateral","","false","","","62","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-гантелей-лежа","Жим гантелей лежа","грудь","трицепс","push","free_weight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Жим штанги лежа; Жим штанги под углом; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","71","false",""
"ex_жим-гантелей-лежа-на-скамье-30","Жим гантелей лёжа на скамье 30*","грудь","трицепс","push","free_weight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим гантелей лежа; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Жим штанги лежа; Жим штанги под углом; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","464","false",""
"ex_жим-гантелей-сидя","Жим гантелей сидя","грудь","трицепс","push","free_weight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Изодинамический жим гантелей на 30* скамье; Жим штанги лежа; Жим штанги под углом; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","50","false",""
"ex_жим-гирей-с-пола","Жим гирей с пола","","","","","unknown","","bilateral","","false","","","4","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-ногами","Жим ногами","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Разгибание ног; Горизонтальный жим ногами; Разгибание ног 10 раз","27","false",""
"ex_жим-ногами-на-бицеп-бедра","Жим ногами на бицеп бедра","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Разгибание ног; Горизонтальный жим ногами; Разгибание ног 10 раз","198","false",""
"ex_жим-ногами-с-параллельной-постановкой-ног","Жим ногами с параллельной постановкой ног","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Разгибание ног; Горизонтальный жим ногами; Разгибание ног 10 раз","37","false",""
"ex_жим-ногами-с-широкой-постановкой-ног","Жим ногами с широкой постановкой ног","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим платформы на ягодицы; Разгибание ног; Горизонтальный жим ногами; Разгибание ног 10 раз","110","false",""
"ex_жим-платформы-на-ягодицы","Жим платформы на ягодицы","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Разгибание ног; Горизонтальный жим ногами; Разгибание ног 10 раз","68","false",""
"ex_жим-с-пола-узким-хватом","Жим с пола узким хватом","","","","","unknown","","bilateral","","false","","","54","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-узким-хватом","Жим узким хватом","","","","","unknown","","bilateral","","false","","","69","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-узким-хватом-в-смитте","Жим узким хватом в смитте","","","","","unknown","","bilateral","","false","","","21","true","Нужно вручную разметить перед использованием в заменах."
"ex_жим-штанги-лежа","Жим штанги лежа","грудь","трицепс","push","free_weight","intermediate","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим штанги под углом; Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","76","false",""
"ex_жим-штанги-под-углом","Жим штанги под углом","грудь","трицепс","push","free_weight","intermediate","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим штанги лежа; Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","123","false",""
"ex_задняя-дельта-в-кроссовере-стоя","Задняя дельта в кроссовере стоя","","","","","unknown","","bilateral","","false","","","28","true","Нужно вручную разметить перед использованием в заменах."
"ex_зашагивания-на-тумбу","Зашагивания на тумбу","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","19","false",""
"ex_зашагивания-на-тумбу-10-раз","Зашагивания на тумбу 10 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","8","false",""
"ex_зашагивания-на-тумбу-12-раз","Зашагивания на тумбу 12 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 8 раз","1","false",""
"ex_зашагивания-на-тумбу-15-раз","Зашагивания на тумбу 15 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","2","false",""
"ex_зашагивания-на-тумбу-8-раз","Зашагивания на тумбу 8 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз","1","false",""
"ex_изодинамические-махи","Изодинамические махи","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","51","false",""
"ex_изодинамические-махи-на-заднюю-дельту","Изодинамические махи на заднюю дельту","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","38","false",""
"ex_изодинамический-жим-гантелей-на-30-скамье","Изодинамический жим гантелей на 30* скамье","грудь","трицепс","push","free_weight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Жим штанги лежа; Жим штанги под углом; Отжимания с гантелей на трицепс; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","42","false",""
"ex_изодинамический-подъем-на-бицепс","Изодинамический подъем на бицепс","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере; Подъем на бицепс спиной к кроссоверу","43","false",""
"ex_изодинамический-подъем-на-бицепс","Изодинамический подъем на бицепс.","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере; Подъем на бицепс спиной к кроссоверу","24","false",""
"ex_калифорнийский-жим-в-смитте","Калифорнийский жим в смитте","","","","","unknown","","bilateral","","false","","","33","true","Нужно вручную разметить перед использованием в заменах."
"ex_касания-пяток-пресс","Касания пяток (пресс)","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Косые скручивания с мячом; Подъемы ног на скамье для пресса; Прямые скручивания с мячом; Скручивания на скамье для пресса; Прямые скручивания на пресс; Велосипедные скручивания; Скручивание на полу; Пресс на босу","86","false",""
"ex_классическая-планка","Классическая планка","кор","","core","bodyweight","beginner","anti_extension","bilateral","core","false","strength_anti_extension","Боковая или латеральная планка; Динамическая планка на косые мышцы; Планка с перестановкой ног; Планка на босу под ногами; Планка на фитболе; Планка на фитболе под руками; Планка на босу","44","false",""
"ex_классические-выпады","Классические выпады.","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","2","false",""
"ex_классические-отжимания","Классические отжимания","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","150","false",""
"ex_классические-отжимания-10-раз","Классические отжимания 10 раз","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Сведение рук в кроссовере на горизонтальной скамье","10","false",""
"ex_классический-жим-в-тренажере","Классический жим в тренажере","","","","","unknown","","bilateral","","false","","","212","true","Нужно вручную разметить перед использованием в заменах."
"ex_классический-подъем-на-бицепс-в-кроссовере","Классический подъем на бицепс в кроссовере","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","86","false",""
"ex_комплекс-лфк-упражнений-на-плечи","Комплекс ЛФК упражнений на плечи","","","","","unknown","","bilateral","","false","","","139","true","Нужно вручную разметить перед использованием в заменах."
"ex_комплекс-лфк-упражнений-на-плечи","Комплекс ЛФК упражнений на плечи.","","","","","unknown","","bilateral","","false","","","285","true","Нужно вручную разметить перед использованием в заменах."
"ex_концентрированный-подъем-на-бицепс","Концентрированный подъем на бицепс","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","43","false",""
"ex_косые-скручивания-с-мячом","Косые скручивания с мячом","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Подъемы ног на скамье для пресса; Прямые скручивания с мячом; Скручивания на скамье для пресса; Прямые скручивания на пресс; Велосипедные скручивания; Скручивание на полу; Пресс на босу","83","false",""
"ex_латеральная-или-боковая-вытяжка-в-кроссовере","Латеральная или боковая вытяжка в кроссовере.","мобильность","","mobility","bodyweight","beginner","mobility","bilateral","mobility","false","mobility","Горизонтальная вытяжка в кроссовере; Растяжка на все тело","119","false",""
"ex_латеральные-или-боковые-зашагивания","Латеральные или боковые зашагивания","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","98","false",""
